,Date,Venue,Squad,Opponent,FTR,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Squad_Goals,Opponent_Goals,Team1_Elo,Team2_Elo
77,2018-06-12,Home,Poland,Lithuania,W,0.2857142857142857,0.14285714285714285,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1599.08,1574.6799999999998
78,2018-06-14,Neutral,Saudi Arabia,Russia,L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.6,2.4,0.4,0.6,0.04,0.04,0.02,0.8,0.0,35.4,42.6,86.34,1.8,0.8,2.2,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1555.06,1595.28
79,2018-06-15,Neutral,Spain,Portugal,D,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,88.33333333333333,1.0,1.6666666666666667,1.0,0.06666666666666667,0.06666666666666667,0.3,2.3333333333333335,0.3333333333333333,73.66666666666667,82.33333333333333,89.83333333333333,4.666666666666667,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1618.0800000000002,1580.2600000000002
80,2018-06-15,Neutral,Iran,Morocco,W,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,24.583333333333332,1.25,0.75,0.5833333333333334,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.8333333333333334,0.0,9.416666666666666,18.0,64.825,0.4166666666666667,0.4166666666666667,0.5,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1599.6800000000003,1587.4
81,2018-06-16,Neutral,Argentina,Iceland,D,0.0,0.0,0.0,0.4,4.8,1.0,0.0,0.0,77.4,0.6,0.6,0.2,0.5,0.18,0.08,7.0,0.0,56.2,65.0,86.0,5.0,3.2,4.8,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1585.9400000000003,1584.18
82,2018-06-16,Neutral,France,Australia,W,0.125,0.0,0.125,0.125,1.0,0.375,0.0,0.0,42.875,1.0,0.125,0.625,0.15000000000000002,0.05,0.025,1.5,0.125,27.75,35.75,77.075,2.125,0.625,1.625,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,1617.72,1586.52
83,2018-06-16,Neutral,Denmark,Peru,W,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,42.714285714285715,1.0,0.5714285714285714,1.1428571428571428,0.07142857142857142,0.07142857142857142,0.05714285714285715,0.8571428571428571,0.14285714285714285,27.0,35.0,76.62857142857142,1.0,0.2857142857142857,0.7142857142857143,,,,,,,,,1.0,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,1622.16,1594.4
84,2018-06-16,Neutral,Australia,France,L,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,51.166666666666664,2.0,0.8333333333333334,0.8333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.8333333333333334,0.0,32.5,41.333333333333336,75.58333333333333,1.1666666666666667,0.16666666666666666,0.3333333333333333,,,,,,,,,2.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1574.56,1625.76
85,2018-06-17,Neutral,Mexico,Germany,W,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,40.5,1.5,2.3333333333333335,1.3333333333333333,0.15,0.15,0.03333333333333333,1.6666666666666667,0.16666666666666666,22.833333333333332,30.666666666666668,77.71666666666665,1.0,1.3333333333333333,1.6666666666666667,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,1584.06,1592.8600000000001
86,2018-06-17,Neutral,Costa Rica,Serbia,L,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,50.0,1.0,1.5714285714285714,0.7142857142857143,0.028571428571428574,0.028571428571428574,0.05714285714285715,1.1428571428571428,0.0,31.714285714285715,42.714285714285715,71.47142857142858,2.0,0.8571428571428571,2.0,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1546.8000000000002,1608.34
