Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y*,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,33.0,48.5,0.0,0.0,0.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,DM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,AM,79,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,FW,65,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,N,,25,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y*,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,70.0,85.7,8.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,LB,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,45.0,56.0,80.4,1.0,1.0,2.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y*,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,0.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,FW,69,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.2,0.0,2.0,1.0,11.0,22.0,50.0,0.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,N,FW,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,LW,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,18.0,55.6,1.0,0.0,2.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,RB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,3.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,56.0,73.0,76.7,5.0,0.0,3.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,"RW,FW",90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,1.0,0.1,0.1,0.1,5.0,0.0,19.0,22.0,86.4,1.0,4.0,6.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,LB,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,3.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,29.0,37.0,78.4,0.0,3.0,3.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,AM,79,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,1.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,26.0,37.0,70.3,2.0,1.0,1.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,RW,74,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,44.0,2.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,22.0,29.0,75.9,5.0,4.0,6.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,FW,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0,0.1,0.1,0.2,5.0,1.0,14.0,23.0,60.9,2.0,2.0,3.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,CB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,1.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,33.0,39.0,84.6,5.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,N,RW,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,1.0,0.1,0.1,0.0,2.0,0.0,6.0,9.0,66.7,0.0,1.0,1.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y*,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,65.4,0.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,RB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,56.0,82.1,3.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,fr France,dk Denmark,Y,FW,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,10.0,15.0,66.7,1.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,fr France,dk Denmark,Y*,CB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,82.0,88.0,93.2,2.0,1.0,1.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,fr France,dk Denmark,N,RW,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,12.0,75.0,0.0,0.0,1.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,fr France,dk Denmark,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0
