Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,N,,17,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,Y,CM,90,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,D 1–1,us United States,fr France,N,,17,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,Y,RW,89,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,N,,7,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,Y,FW,68,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,Y,AM,77,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,us United States,pe Peru,N,,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-11-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,mx Mexico,Y,AM,90,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-11-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,mx Mexico,N,,6,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
09-11-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,mx Mexico,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
