Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,RB,56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,3.0,0.0,0.0,3.0,0.0,0.0,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,N,,34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,CB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y*,CM,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,FW,90,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,0.0,1.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,N,,34,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,FW,56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,CM,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,N,,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,0.0,0.0,0.0,2.0,0.0,0.0,,,,1.0,,,,,,,0.0,,,
20-01-2022,Thu,Africa Cup of Nations,Group stage,Neutral,L 0–1,tn Tunisia,gm Gambia,Y,LB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,Match Report,,,,,,,,,,1.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,,0.0,,,
