Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,N,LW,24,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,7,0,1,0,0,0,0,0,3,4,75,0,0,0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,LB,90,0,0,0,0,1,1,0,0,,,,,,0,,,,Match Report,51,3,1,0,0,0,0,0,32,40,80,0,0,1
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,AM,90,1,0,0,0,2,1,0,0,,,,,,1,,,,Match Report,53,0,1,0.1,0.1,0.1,3,0,35,45,77.8,0,0,1
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,CB,90,0,0,0,0,0,0,0,0,,,,,,2,,,,Match Report,79,1,1,0,0,0,1,0,70,72,97.2,5,0,0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,29,0,0,0,0,0,1,0,20,26,76.9,0,0,0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,DM,90,0,0,0,0,1,0,0,0,,,,,,3,,,,Match Report,55,3,1,0.1,0.1,0,1,0,36,46,78.3,2,0,0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y*,CB,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,78,2,1,0,0,0.1,1,0,60,67,89.6,11,0,0
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,N,RW,32,0,0,0,0,1,1,0,0,,,,,,0,,,,Match Report,15,1,1,0,0,0,0,0,4,6,66.7,1,1,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,CM,89,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,44,2,2,0,0,0,1,0,28,35,80,3,0,2
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,CM,90,0,0,0,0,4,2,0,0,,,,,,0,,,,Match Report,45,0,1,0.2,0.2,0,0,0,23,37,62.2,1,1,1
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,39,0,0,0,0,0,0,0,12,37,32.4,0,0,0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y*,CB,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,49,0,0,0,0,0,1,0,29,38,76.3,1,0,0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,DM,90,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,40,0,0,0,0,0,0,0,26,30,86.7,0,0,0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,RM,90,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,29,1,0,0,0,0,0,0,17,23,73.9,0,2,2
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,LB,90,0,0,0,0,0,0,0,0,,,,,,2,,,,Match Report,38,2,0,0,0,0,1,0,20,30,66.7,2,0,0
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,N,FW,16,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,6,0,0,0,0,0,0,0,4,5,80,1,0,0
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,DM,61,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,AM,89,1,1,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,N,,45,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,N,,45,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,GK,90,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,CM,90,2,0,1,1,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,FW,78,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,N,,12,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,RM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,CM,90,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,N,,1,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,N,,45,1,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,Y*,CB,60,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,Y,DM,62,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,N,,21,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,Y,LM,90,1,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,Y,GK,90,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,Y,CM,90,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,Y*,RM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-11-2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,Y*,AM,45,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
19-11-2018,Mon,UEFA Nations League,League B,Home,D 0–0,dk Denmark,ie Rep. of Ireland,Y,FW,77,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,,31,1,0,1,1,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,,31,0,1,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,Y*,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,,45,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,Y,DM,90,1,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,,31,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,Y,CB,59,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,Y,AM,90,0,1,0,0,3,2,0,0,,,,,,0,,,,Match Report,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,Y,DM,90,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 3–3,dk Denmark,ch Switzerland,Y,FW,90,0,0,0,0,2,0,0,0,,,,,,2,,,,Match Report,,,,,,,,,,,,,,
