Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y*,FW,90,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,"DM,CM",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,FW,23,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,FW,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,DM,90,3,1,1,2,0,0,2,0,2,0,0,0,0,3,1,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,RW,69,1,1,1,0,0,0,1,0,1,1,0,1,2,3,2,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,FW,90,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,1,1,0,1,0,1,1,100,0,2,1,1,0,1,0,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y*,FW,62,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y*,DM,90,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,CB,45,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,RW,90,1,0,0,1,0,1,1,100,0,1,1,0,2,3,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,"FW,RW",78,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,CB,45,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,DM,63,,,,,,,,,,,,,,,,,Match Report
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y*,DM,63,,,,,,,,,,,,,,,,,Match Report
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,CB,64,,,,,,,,,,,,,,,,,Match Report
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,,27,,,,,,,,,,,,,,,,,Match Report
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,FW,89,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,DM,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,FW,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,DM,84,1,0,0,1,0,1,3,33.3,2,2,1,1,3,4,1,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,RW,90,2,0,1,0,1,0,1,0,1,0,0,0,2,4,3,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,2,1,0,2,0,0,0,,0,0,0,0,0,2,5,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,1,1,0,1,0,1,2,50,1,0,0,0,1,2,6,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,1,1,1,0,0,1,1,100,0,1,0,1,1,2,5,0,Match Report
