Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,W 4–1,es Spain,wls Wales,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,W 4–1,es Spain,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-11-2018,Thu,Friendlies (M),Friendlies (M),Away,W 4–1,es Spain,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,N,,30,,,,,,,,,,,,,,,,,Match Report
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,N,,27,,,,,,,,,,,,,,,,,Match Report
15-11-2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,N,,40,,,,,,,,,,,,,,,,,Match Report
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,Y,FW,63,,,,,,,,,,,,,,,,,Match Report
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
18-11-2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,Y,CM,90,,0,,,,,,,,,,,1,,,,Match Report
