Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,"RB,DM",90,4,3,2,1,1,4,7,57.1,3,3,0,3,1,5,3,0,Match Report
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,"RB,CB",90,1,1,0,1,0,0,1,0,1,0,0,0,3,4,1,0,Match Report
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,"LW,AM",90,1,0,0,1,0,0,2,0,2,2,0,2,0,1,0,0,Match Report
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,LB,64,2,1,1,1,0,0,1,0,1,1,0,1,0,2,2,0,Match Report
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y*,"DM,AM",74,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Match Report
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Match Report
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 1–4,mx Mexico,uy Uruguay,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 1–4,mx Mexico,uy Uruguay,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 1–4,mx Mexico,uy Uruguay,Y*,GK,90,,,,,,,,,,,,,,,,,Match Report
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 1–4,mx Mexico,uy Uruguay,Y,AM,71,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,dk Denmark,Y*,CM,45,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,dk Denmark,Y,CB,45,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,dk Denmark,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,dk Denmark,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,dk Denmark,N,,34,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,dk Denmark,N,,45,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,cl Chile,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,cl Chile,Y,AM,81,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,cl Chile,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,cl Chile,N,,9,,,,,,,,,,,,,,,,,Match Report
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,mx Mexico,us United States,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
09-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,mx Mexico,us United States,N,,11,,,,,,,,,,,,,,,,,Match Report
10-11-2018,Thu,Friendlies (M),Friendlies (M),Home,W 3–2,mx Mexico,cr Costa Rica,N,,45,,,,,,,,,,,,,,,,,Match Report
10-11-2018,Thu,Friendlies (M),Friendlies (M),Home,W 3–2,mx Mexico,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-11-2018,Thu,Friendlies (M),Friendlies (M),Home,W 3–2,mx Mexico,cr Costa Rica,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
16-11-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,ar Argentina,Y,LB,45,,,,,,,,,,,,,,,,,Match Report
16-11-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,ar Argentina,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-11-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,ar Argentina,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-11-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,mx Mexico,ar Argentina,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
