Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,LB,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,FW,87,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,CM,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,Y,CM,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
