Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,0,0,0,0,3,1,0,0,,,,,,2,,,,Match Report,83,2,1,0.5,0.5,0,1,1,73,75,97.3,5,0,0
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,30,0,0,0,0,0,0,0,21,29,72.4,0,0,0
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y*,FW,90,2,0,0,0,3,2,0,0,,,,,,1,,,,Match Report,29,0,0,1,1,0,4,0,14,23,60.9,2,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,81,1,2,0,0,0,0,0,72,77,93.5,1,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,2,0,0,0,2,2,0,0,,,,,,0,,,,Match Report,105,0,0,0.7,0.7,0,2,1,93,96,96.9,5,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,DM,90,0,0,0,0,1,0,0,0,,,,,,0,,,,Match Report,82,3,0,0,0,0,1,0,63,74,85.1,7,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y*,FW,62,3,0,2,2,1,1,0,0,,,,,,1,,,,Match Report,18,0,0,1.6,0.1,0.6,1,0,10,13,76.9,2,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,119,0,0,0,0,0,2,1,105,108,97.2,8,1,1
